name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, norad_catalog_number, multiple_name_flag, payload_flag, operational_status_code, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4. USA 194. NRO L30), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1015, 1200, 0.01237044466733534, 63.4, 107.4, 5.000+, null, null, 2007-06-15, null, Lockheed Martin, USA, Cape Canaveral, Atlas 5, 2007-027A, 31701, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, null, null, http://www.lib.cas.cz/space.40/2007/027A.HTM, null, null, null, null, 1977, 112, F, 10594, null, *, null, US, 1977-01-08, AFWTR, null, 63.3, null, 1485, 372, null, null
SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4. USA 194. NRO L30), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1015, 1200, 0.01237044466733534, 63.4, 107.4, 5.000+, null, null, 2007-06-15, null, Lockheed Martin, USA, Cape Canaveral, Atlas 5, 2007-027A, 31701, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, null, null, http://www.lib.cas.cz/space.40/2007/027A.HTM, null, null, null, null, 1986, 69, A, 16937, null, *, D, US, 1986-01-05, AFETR, 1986-01-28, 39.1, null, 326, 177, null, null
SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4. USA 194. NRO L30), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1015, 1200, 0.01237044466733534, 63.4, 107.4, 5.000+, null, null, 2007-06-15, null, Lockheed Martin, USA, Cape Canaveral, Atlas 5, 2007-027A, 31701, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, null, null, http://www.lib.cas.cz/space.40/2007/027A.HTM, null, null, null, null, 2007, 27, A, 31701, M, *, +, US, 2007-01-15, AFETR, null, null, null, null, null, null, NEA
SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4. USA 194. NRO L30), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1016, 1201, 0.012368790532860868, 63.4, 107.4, 5.000+, null, null, 2007-06-15, null, Lockheed Martin, USA, Cape Canaveral, Atlas 5, 2007-027B, 31708, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, null, null, http://www.lib.cas.cz/space.40/2007/027C.HTM, null, null, null, null, 1977, 112, F, 10594, null, *, null, US, 1977-01-08, AFWTR, null, 63.3, null, 1485, 372, null, null
SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4. USA 194. NRO L30), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1016, 1201, 0.012368790532860868, 63.4, 107.4, 5.000+, null, null, 2007-06-15, null, Lockheed Martin, USA, Cape Canaveral, Atlas 5, 2007-027B, 31708, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, null, null, http://www.lib.cas.cz/space.40/2007/027C.HTM, null, null, null, null, 1986, 69, A, 16937, null, *, D, US, 1986-01-05, AFETR, 1986-01-28, 39.1, null, 326, 177, null, null
SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4. USA 194. NRO L30), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1016, 1201, 0.012368790532860868, 63.4, 107.4, 5.000+, null, null, 2007-06-15, null, Lockheed Martin, USA, Cape Canaveral, Atlas 5, 2007-027B, 31708, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, null, null, http://www.lib.cas.cz/space.40/2007/027C.HTM, null, null, null, null, 2007, 27, A, 31701, M, *, +, US, 2007-01-15, AFETR, null, null, null, null, null, null, NEA
SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5. USA 229. NRO L34), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1019, 1205, 0.012429831595829992, 63.4, 107.5, null, null, null, 2011-04-15, null, Lockheed Martin, USA, Vandenberg AFB, Atlas 5, 2011-014A, 37386, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, SC - ASCR, http://www.lib.cas.cz/space.40/2011/I009A.HTM, null, null, null, null, null, 1977, 112, F, 10594, null, *, null, US, 1977-01-08, AFWTR, null, 63.3, null, 1485, 372, null, null
SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5. USA 229. NRO L34), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1019, 1205, 0.012429831595829992, 63.4, 107.5, null, null, null, 2011-04-15, null, Lockheed Martin, USA, Vandenberg AFB, Atlas 5, 2011-014A, 37386, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, SC - ASCR, http://www.lib.cas.cz/space.40/2011/I009A.HTM, null, null, null, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5. USA 229. NRO L34), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1019, 1205, 0.012429831595829992, 63.4, 107.5, null, null, null, 2011-04-15, null, Lockheed Martin, USA, Vandenberg AFB, Atlas 5, 2011-014A, 37386, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, SC - ASCR, http://www.lib.cas.cz/space.40/2011/I009A.HTM, null, null, null, null, null, 1987, 43, A, 17997, null, *, null, US, 1987-01-15, AFWTR, null, null, null, null, null, null, NEA
SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5. USA 229. NRO L34), USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1019, 1205, 0.012429831595829992, 63.4, 107.5, null, null, null, 2011-04-15, null, Lockheed Martin, USA, Vandenberg AFB, Atlas 5, 2011-014A, 37386, ELINT system; wide area ocean surveillance. primarily for the Navy and surveillance of shipping., null, SC - ASCR, http://www.lib.cas.cz/space.40/2011/I009A.HTM, null, null, null, null, null, 2011, 14, A, 37386, M, *, +, US, 2011-01-15, AFWTR, null, null, null, null, null, null, NEA
