name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, norad_catalog_number, multiple_name_flag, payload_flag, operational_status_code, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
DSCS III-F12 (USA 153. DSCS III B-11) (Defense Satellite Communications System), USA, USA, US Air Force, Military, Communications, null, GEO, null, -12.15, 35774, 35799, 0.0002965141793080545, 0.04, 1436.12, 1156, 884, 1240, 2000-10-20, 10 yrs., Lockheed Martin Missiles and Space, USA, Cape Canaveral, Atlas 2A, 2000-065A, 26575, Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide. longhaul coverage; X-band., null, JM/12_08, null, http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html, http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm, http://www.fas.org/spp/military/program/com/dscs_3.htm, null, null, 1986, 14, A, 16591, null, *, null, US, 1986-01-09, AFWTR, null, 63.3, null, 1761, 389, null, NEA
DSCS III-F12 (USA 153. DSCS III B-11) (Defense Satellite Communications System), USA, USA, US Air Force, Military, Communications, null, GEO, null, -12.15, 35774, 35799, 0.0002965141793080545, 0.04, 1436.12, 1156, 884, 1240, 2000-10-20, 10 yrs., Lockheed Martin Missiles and Space, USA, Cape Canaveral, Atlas 2A, 2000-065A, 26575, Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide. longhaul coverage; X-band., null, JM/12_08, null, http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html, http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm, http://www.fas.org/spp/military/program/com/dscs_3.htm, null, null, 2000, 65, A, 26575, M, *, +, US, 2000-01-20, AFETR, null, 7.2, null, 35795, 35778, null, null
DSCS III-F9 (USA 113. DSCS III B-7) (Defense Satellite Communications System), USA, USA, US Air Force, Military, Communications, null, GEO, null, -52.4, 35784, 35784, 0, 0, 1436.1, 1156, 884, 1240, 1995-07-31, 10 yrs., Lockheed Martin Missiles and Space, USA, Cape Canaveral, Atlas 2A, 1995-038A, 23628, Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide. longhaul coverage; X-band., null, GS, null, http://www.space-technology.com/projects/sicral/, http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm, http://www.fas.org/spp/military/program/com/dscs_3.htm, null, null, 1985, 92, B, 16116, M, *, null, US, 1985-01-03, AFETR, null, null, null, null, null, null, NEA
DSCS III-F9 (USA 113. DSCS III B-7) (Defense Satellite Communications System), USA, USA, US Air Force, Military, Communications, null, GEO, null, -52.4, 35784, 35784, 0, 0, 1436.1, 1156, 884, 1240, 1995-07-31, 10 yrs., Lockheed Martin Missiles and Space, USA, Cape Canaveral, Atlas 2A, 1995-038A, 23628, Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide. longhaul coverage; X-band., null, GS, null, http://www.space-technology.com/projects/sicral/, http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm, http://www.fas.org/spp/military/program/com/dscs_3.htm, null, null, 1995, 38, A, 23628, M, *, +, US, 1995-01-31, AFETR, null, 11, null, 35795, 35777, null, null
DSP 18 (USA 130) (Defense Support Program), USA, USA, Air Force, Military, Earth Observation, Infrared Imaging, GEO, null, 0, 35780, 35800, 0.00023719165085388995, 0.1, 1436.27, 2380, null, 1485, 1997-02-23, 5 yrs., TRW and Aerojet Electronics Systems, USA, Cape Canaveral, Titan IVB, 1997-008A, 24737, Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces., null, JMSatcat304, null, null, http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, 1985, 114, A, 16328, null, *, D, US, 1985-01-13, WLPIS, 1989-01-11, 37, null, 160, 148, 0.6895, null
DSP 20 (USA 149) (Defense Support Program), USA, USA, Air Force, Military, Earth Observation, Infrared Imaging, GEO, null, -36.25, 35897, 35909, 0.00014193456816407636, 4.08, 142.08, 2380, null, 1485, 2000-05-18, 7-9 yrs., TRW and Aerojet Electronics Systems, USA, Cape Canaveral, Titan IVB, 2000-024A, 26356, Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces., null, JM/12_08, null, null, http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, 1985, 114, B, 16329, null, *, D, US, 1985-01-13, WLPIS, 1987-01-09, 37, null, 195, 174, 2.65, null
DSP 21 (USA 159) (Defense Support Program), USA, USA, Air Force, Military, Earth Observation, Infrared Imaging, GEO, null, 69.48, 35765, 35810, 0.0005337128624799857, 3.68, 1436.14, 2380, null, 1485, 2001-08-06, 7-9 yrs., TRW and Aerojet Electronics Systems, USA, Cape Canaveral, Titan 4B, 2001-033A, 26880, Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces., null, JM/12_08, http://www.spaceline.org/news/titan/dsp-21/dsp-21.html, http://www.spaceandtech.com/spacedata/logs/2001/2001-033a_dsp-21_sum.shtml, http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, 1986, 14, A, 16591, null, *, null, US, 1986-01-09, AFWTR, null, 63.3, null, 1761, 389, null, NEA
DSP 22 (USA 176) (Defense Support Program), USA, USA, Air Force, Military, Earth Observation, Infrared Imaging, GEO, null, 103.84, 35741, 35832, 0.0010793116126813183, 1.41, 1436.12, 2380, null, 1485, 2004-02-14, 7-9 yrs., Northrup Grumman (formerly TRW), USA, Cape Canaveral, Titan 4B, 2004-004A, 28158, Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces., null, JM/12_08, null, null, http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, 1986, 14, F, 16625, null, *, null, US, 1986-01-09, AFWTR, null, null, null, null, null, null, NEA
Echostar G1 (ICO G1. DBSD G1), USA, USA, Dish Network, Commercial, Communications, null, GEO, null, -92.92, 35773, 35799, 0.0003083784040231521, 5.73, 1436.1, 6600, null, 16000, 2008-04-14, 15 yrs., Space Systems/Loral, USA, Cape Canaveral, Atlas 5, 2008-016A, 32763, CONUS. Puerto Rico. Virgin Islands. Purchased by Dish Network in 2011. , null, JM/12_08, http://www.ico.com/_about/tech/geo.php, http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html, http://www.lib.cas.cz/space.40/2008/016A.HTM, http://www.spacenews.com/satellite_telecom/120418-boeing-wins-appeal-ico-global-case.html, null, null, 2008, 16, A, 32763, null, *, +, US, 2008-01-14, AFETR, null, 3.6, null, 35797, 35776, 14.1589, null
AIST-1, Russia, Russia, Samara State Aerospace University. SGAU, Civil, Technology Development, null, LEO, Polar, 0, 599, 626, 0.001933404940923738, 82.4, 96.9, null, null, null, 2013-12-28, null, TsSKB Progress, Russia, Plesetsk Cosmodrome, Soyuz 2.1v, 2013-078C, 39492, Designed to measure the Earth’s geomagnetic field and test out a new satellite design., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, null, 1998, 49, A, 25460, null, *, -, STCT, 1998-01-25, FRGUI, null, 5.8, null, 36247, 36192, 6.8618, null
AIST-1, Russia, Russia, Samara State Aerospace University. SGAU, Civil, Technology Development, null, LEO, Polar, 0, 599, 626, 0.001933404940923738, 82.4, 96.9, null, null, null, 2013-12-28, null, TsSKB Progress, Russia, Plesetsk Cosmodrome, Soyuz 2.1v, 2013-078C, 39492, Designed to measure the Earth’s geomagnetic field and test out a new satellite design., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, null, 2013, 78, C, 39492, null, *, -, CIS, 2013-01-28, PLMSC, null, 82.4, null, 618, 591, 0.241, null
EO-1 (Earth Observing 1), USA, USA, NASA Earth Science Office, Government, Earth Observation/Research, Optical Imaging, LEO, Sun-Synchronous, 0, 678, 690, 0.0008505812305075135, 98.1, 98.4, 572, null, 600, 2000-11-21, 5 yrs., Swales Aerospace, USA, Vandenberg AFB, Delta 2, 2000-075A, 26619, One-year technology validation/demonstration mission; image Earth's surface in numerous wavelength bands., null, www.satellitedebris.net 12/12, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://earthobservatory.nasa.gov/Library/EO1/eo1.html, http://eo1.usgs.gov/, http://directory.eoportal.org/pres_EO1EarthObserving1.html, null, null, 2000, 75, A, 26619, M, *, -, US, 2000-01-21, AFWTR, null, 97.8, null, 686, 671, 1.721, null
EROS A1 (Earth Resources Observation Satellite), NR, Israel, ImageSat International. NV/Ministry of Defense, Military/Commercial, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 466, 477, 0.0008039172696046188, 97.56, 95.4, 240, null, null, 2000-12-05, 6 yrs., Israel Aircraft Industries (IAI), Israel, Svobodny Cosmodrome, Start 1, 2000-079A, 26631, High resolution imaging satellite; obtain images (with terrain width of 12.6 km) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2.000 km radius., null, WT, www.spaceandtech.com/spacedata, http://nssdc.gsfc.nasa.gov/spacewarn/spx566.html, http://www.coresw.com/news/isi20001205.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, 2000, 79, A, 26631, null, *, D, ISRA, 2000-01-05, SVOBO, 2016-01-07, 97.5, null, 152, 123, 0.822, null
EROS B1 (Earth Resources Observation Satellite), NR, Israel, ImageSat International. NV/Ministry of Defense, Military/Commercial, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 508, 514, 0.0004359831419851766, 97.4, 94.8, 350, null, 800, 2006-04-25, 10 yrs., Israel Aircraft Industries (IAI), Israel, Svobodny Cosmodrome, Start 1, 2006-014A, 29079, High resolution imaging satellite; obtain images (with resolution of 0.82 meters) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2.000 km around Israel., null, www.satellitedebris.net 12/12, http://www.spaceandtech.com/spacedata/logs/2003/erosb1_sumpub.shtml, null, null, null, null, null, 2006, 14, A, 29079, null, *, +, ISRA, 2006-01-25, SVOBO, null, 97.4, null, 496, 493, 0.645, null
AIST-2, Russia, Russia, Samara State Aerospace University. SGAU, Civil, Technology Development, null, LEO, Non-Polar Inclined, 0, 558, 582, 0.001729106628242075, 64.88, 96.06, 53, null, null, 2013-04-19, 3 yrs., Samara State Aerospace University. SGAU, Russia, Baikonur Cosmodrome, Soyuz 2.1a, 2013-015D, 39133, Designed to measure the Earth’s geomagnetic field and test out a new satellite design., null, null, http://www.russianspaceweb.com/aist.html, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2011, 22, B, 37606, null, *, +, STCT, 2011-01-20, FRGUI, null, 0, null, 35796, 35778, 5.6234, null
AIST-2, Russia, Russia, Samara State Aerospace University. SGAU, Civil, Technology Development, null, LEO, Non-Polar Inclined, 0, 558, 582, 0.001729106628242075, 64.88, 96.06, 53, null, null, 2013-04-19, 3 yrs., Samara State Aerospace University. SGAU, Russia, Baikonur Cosmodrome, Soyuz 2.1a, 2013-015D, 39133, Designed to measure the Earth’s geomagnetic field and test out a new satellite design., null, null, http://www.russianspaceweb.com/aist.html, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 15, D, 39133, null, *, -, CIS, 2013-01-19, TYMSC, null, 64.9, null, 562, 542, 0.2783, null
AIST-2, Russia, Russia, Samara State Aerospace University. SGAU, Civil, Technology Development, null, LEO, Non-Polar Inclined, 0, 558, 582, 0.001729106628242075, 64.88, 96.06, 53, null, null, 2013-04-19, 3 yrs., Samara State Aerospace University. SGAU, Russia, Baikonur Cosmodrome, Soyuz 2.1a, 2013-015D, 39133, Designed to measure the Earth’s geomagnetic field and test out a new satellite design., null, null, http://www.russianspaceweb.com/aist.html, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2016, 26, B, 41465, null, *, +, CIS, 2016-01-28, VOSTO, null, 97.2, null, 472, 458, 2.353, null
AIST-2D, NR (6/16), Russia, Samara State Aerospace University, Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 471, 486, 0.0010951303205081406, 97.28, 94.18, 531, null, null, 2016-04-27, null, Samara State Aerospace University/TsSKB Progress, Russia, Vostochny Cosmodrome, Soyuz 2.1a, 2016-026B, 41465, Aist 2D also carries an innovative radar operating in P-band. a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures., null, Space50, https://spaceflightnow.com/2016/04/28/first-launch-from-russias-new-cosmodrome-declared-a-success/, http://space50.org/objekt.php?mot=2016-026B&jazyk=pp_en, null, null, null, null, 2011, 22, B, 37606, null, *, +, STCT, 2011-01-20, FRGUI, null, 0, null, 35796, 35778, 5.6234, null
AIST-2D, NR (6/16), Russia, Samara State Aerospace University, Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 471, 486, 0.0010951303205081406, 97.28, 94.18, 531, null, null, 2016-04-27, null, Samara State Aerospace University/TsSKB Progress, Russia, Vostochny Cosmodrome, Soyuz 2.1a, 2016-026B, 41465, Aist 2D also carries an innovative radar operating in P-band. a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures., null, Space50, https://spaceflightnow.com/2016/04/28/first-launch-from-russias-new-cosmodrome-declared-a-success/, http://space50.org/objekt.php?mot=2016-026B&jazyk=pp_en, null, null, null, null, 2016, 26, B, 41465, null, *, +, CIS, 2016-01-28, VOSTO, null, 97.2, null, 472, 458, 2.353, null
FAST 1 (Sara Lilly and Emma. USA 222), USA, USA, University of Texas - Austin, Civil, Technology Development, null, LEO, Polar, 0, 627, 654, 0.001925682904215106, 71.97, 97.54, 55, null, null, 2010-11-20, null, University of Texas - Austin, USA, Kodiak Launch Complex, Minotaur 4, 2010-062F, 37227, Consists of two satellites that will be launched together -- Sara Lily and Emma., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/062F.HTM, http://fastrac.ae.utexas.edu/our_project/mission.php, null, null, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
FAST 1 (Sara Lilly and Emma. USA 222), USA, USA, University of Texas - Austin, Civil, Technology Development, null, LEO, Polar, 0, 627, 654, 0.001925682904215106, 71.97, 97.54, 55, null, null, 2010-11-20, null, University of Texas - Austin, USA, Kodiak Launch Complex, Minotaur 4, 2010-062F, 37227, Consists of two satellites that will be launched together -- Sara Lily and Emma., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/062F.HTM, http://fastrac.ae.utexas.edu/our_project/mission.php, null, null, null, null, 1987, 43, A, 17997, null, *, null, US, 1987-01-15, AFWTR, null, null, null, null, null, null, NEA
FAST 1 (Sara Lilly and Emma. USA 222), USA, USA, University of Texas - Austin, Civil, Technology Development, null, LEO, Polar, 0, 627, 654, 0.001925682904215106, 71.97, 97.54, 55, null, null, 2010-11-20, null, University of Texas - Austin, USA, Kodiak Launch Complex, Minotaur 4, 2010-062F, 37227, Consists of two satellites that will be launched together -- Sara Lily and Emma., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/062F.HTM, http://fastrac.ae.utexas.edu/our_project/mission.php, null, null, null, null, 1996, 49, A, 24285, M, *, -, US, 1996-01-21, AFWTR, null, 83, null, 3440, 346, 1.3447, null
FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1. NROL-41. USA 215. Topaz), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1101, 1107, 0.0004013914905004014, 122.99, 107.35, null, null, null, 2010-09-21, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Atlas 5, 2010-046A, 37162, Amateur observers speculate that this is part of the FIA., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/046A.HTM&act=print, http://www.satobs.org/seesat/Oct-2010/0008.html, http://www.globalsecurity.org/intell/systems/fia.htm, http://www.nytimes.com/2007/11/11/washington/11satellite.html?_r=1&pagewanted=1#step1, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1. NROL-41. USA 215. Topaz), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1101, 1107, 0.0004013914905004014, 122.99, 107.35, null, null, null, 2010-09-21, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Atlas 5, 2010-046A, 37162, Amateur observers speculate that this is part of the FIA., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/046A.HTM&act=print, http://www.satobs.org/seesat/Oct-2010/0008.html, http://www.globalsecurity.org/intell/systems/fia.htm, http://www.nytimes.com/2007/11/11/washington/11satellite.html?_r=1&pagewanted=1#step1, null, null, 1987, 15, A, 17506, null, *, null, US, 1987-01-12, AFWTR, null, null, null, null, null, null, NEA
FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1. NROL-41. USA 215. Topaz), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1101, 1107, 0.0004013914905004014, 122.99, 107.35, null, null, null, 2010-09-21, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Atlas 5, 2010-046A, 37162, Amateur observers speculate that this is part of the FIA., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/046A.HTM&act=print, http://www.satobs.org/seesat/Oct-2010/0008.html, http://www.globalsecurity.org/intell/systems/fia.htm, http://www.nytimes.com/2007/11/11/washington/11satellite.html?_r=1&pagewanted=1#step1, null, null, 2010, 46, A, 37162, M, *, +, US, 2010-01-21, AFWTR, null, null, null, null, null, null, NEA
ABS-3A , NR, Multinational, Asia Broadcast Satellite Ltd., Commercial, Communications, null, GEO, null, -3, 35788, 35803, 0.00017787053396734297, 0.1, 1436, 2000, null, null, 2015-03-02, 15 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Falcon 9, 2015-010A, 40424, Coverage of Americas Europe and Africa., null, null, http://www.absatellite.net/satellite-fleet/?sat=abs3a, http://spaceflightnow.com/2015/03/17/innovative-satellites-begin-maneuvers-with-all-electric-thrusters/, null, null, null, null, 1997, 42, A, 24901, M, *, -, ABS, 1997-01-19, XICLF, null, 6.1, null, 36091, 36054, 10, null
ABS-3A , NR, Multinational, Asia Broadcast Satellite Ltd., Commercial, Communications, null, GEO, null, -3, 35788, 35803, 0.00017787053396734297, 0.1, 1436, 2000, null, null, 2015-03-02, 15 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Falcon 9, 2015-010A, 40424, Coverage of Americas Europe and Africa., null, null, http://www.absatellite.net/satellite-fleet/?sat=abs3a, http://spaceflightnow.com/2015/03/17/innovative-satellites-begin-maneuvers-with-all-electric-thrusters/, null, null, null, null, 2015, 10, A, 40424, null, *, +, ABS, 2015-01-02, AFETR, null, 0, null, 35795, 35777, 6.019, null
FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2. NROL-25. USA 234. Topaz), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1068, 1107, 0.0026148172980221254, 123, 107, null, null, null, 2012-04-03, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Delta 4, 2012-014A, 38109, Amateur observers speculate that this is part of the FIA., null, null, http://sattrackcam.blogspot.com/2012/04/fia-radar-2-nrol-25-observed-with-video.html, http://www.slate.com/blogs/future_tense/2012/04/09/nrol_25_spy_satellite_launched_by_national_reconnaissance_office_.html, http://www.zarya.info/Gallimaufry/FIARadar.php, http://planet4589.org/space/jsr/back/news.656, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2. NROL-25. USA 234. Topaz), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1068, 1107, 0.0026148172980221254, 123, 107, null, null, null, 2012-04-03, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Delta 4, 2012-014A, 38109, Amateur observers speculate that this is part of the FIA., null, null, http://sattrackcam.blogspot.com/2012/04/fia-radar-2-nrol-25-observed-with-video.html, http://www.slate.com/blogs/future_tense/2012/04/09/nrol_25_spy_satellite_launched_by_national_reconnaissance_office_.html, http://www.zarya.info/Gallimaufry/FIARadar.php, http://planet4589.org/space/jsr/back/news.656, null, null, 1987, 43, E, 18009, null, *, null, US, 1987-01-15, AFWTR, null, null, null, null, null, null, NEA
FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2. NROL-25. USA 234. Topaz), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1068, 1107, 0.0026148172980221254, 123, 107, null, null, null, 2012-04-03, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Delta 4, 2012-014A, 38109, Amateur observers speculate that this is part of the FIA., null, null, http://sattrackcam.blogspot.com/2012/04/fia-radar-2-nrol-25-observed-with-video.html, http://www.slate.com/blogs/future_tense/2012/04/09/nrol_25_spy_satellite_launched_by_national_reconnaissance_office_.html, http://www.zarya.info/Gallimaufry/FIARadar.php, http://planet4589.org/space/jsr/back/news.656, null, null, 2012, 14, A, 38109, M, *, +, US, 2012-01-03, AFWTR, null, 123, null, 1106, 1102, null, NEA
FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3. NROL-39 . USA 247. Topaz), NR, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1066, 1081, 0.0010075905152146167, 123, 106.7, null, null, null, 2013-12-06, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Atlas 5, 2013-072A, 39462, US reconnaissance satellite. part of the only remaining element of the Future Imaging Architecture programme. equipped with an imaging radar. Orbit plane is 90° away in RA from each of the two earlier launches., null, ZARYA estimated, http://forum.nasaspaceflight.com/index.php?topic=32686.155;wap2, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3. NROL-39 . USA 247. Topaz), NR, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1066, 1081, 0.0010075905152146167, 123, 106.7, null, null, null, 2013-12-06, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Atlas 5, 2013-072A, 39462, US reconnaissance satellite. part of the only remaining element of the Future Imaging Architecture programme. equipped with an imaging radar. Orbit plane is 90° away in RA from each of the two earlier launches., null, ZARYA estimated, http://forum.nasaspaceflight.com/index.php?topic=32686.155;wap2, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 1987, 43, F, 18010, null, *, null, US, 1987-01-15, AFWTR, null, null, null, null, null, null, NEA
FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3. NROL-39 . USA 247. Topaz), NR, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1066, 1081, 0.0010075905152146167, 123, 106.7, null, null, null, 2013-12-06, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Atlas 5, 2013-072A, 39462, US reconnaissance satellite. part of the only remaining element of the Future Imaging Architecture programme. equipped with an imaging radar. Orbit plane is 90° away in RA from each of the two earlier launches., null, ZARYA estimated, http://forum.nasaspaceflight.com/index.php?topic=32686.155;wap2, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 72, A, 39462, M, *, +, US, 2013-01-06, AFWTR, null, 123, null, 1107, 1101, null, NEA
FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4. NROL-45. USA 267. Topax), NR (5/16), USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1086, 1087, 0.0000670555890833501, 123, 106.7, null, null, null, 2016-02-10, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Delta 4, 2016-010A, 41334, null, null, SatTrackCam, http://sattrackcam.blogspot.com/2016/02/observing-nrol-45-fia-radar-4topaz-4-18.html, http://spaceflightnow.com/2016/02/10/delta-4-goes-against-the-grain-to-backwards-orbit-for-spy-bird/, null, null, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4. NROL-45. USA 267. Topax), NR (5/16), USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1086, 1087, 0.0000670555890833501, 123, 106.7, null, null, null, 2016-02-10, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Delta 4, 2016-010A, 41334, null, null, SatTrackCam, http://sattrackcam.blogspot.com/2016/02/observing-nrol-45-fia-radar-4topaz-4-18.html, http://spaceflightnow.com/2016/02/10/delta-4-goes-against-the-grain-to-backwards-orbit-for-spy-bird/, null, null, null, null, 2016, 10, A, 41334, null, *, +, US, 2016-01-10, AFWTR, null, null, null, null, null, null, NEA
FLTSATCOM-8 (USA 46), USA, USA, US Navy, Military, Communications, null, GEO, null, -14.74, 35745, 35829, 0.0009962758260787057, 8.97, 1436.13, 2310, 1884, null, 1989-09-25, 5 yrs., TRW. Defense and Space Systems Group, USA, Cape Canaveral, Atlas Centaur, 1989-077A, 20253, Old system replaced by UFO satellites; this satellite still operational as of 2009., null, JM/2_09, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/1989/077A.HTM, http://www.wired.com/politics/security/news/2009/04/fleetcom?currentPage=all, http://www.designation-systems.net/dusrm/app3/sat-summary.html, http://www.fas.org/spp/military/program/com/fltsat.htm, null, null, 1984, 91, A, 15226, null, *, null, US, 1984-01-28, AFWTR, null, null, null, null, null, null, NEA
