name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
QB50P1 (EO 79), Belgium, Belgium, von Karman Institute, Civil, Space Science, null, LEO, Sun-Synchronous, 0, 605, 621, 0.0011456394099957038, 97.98, 96.96, 2, null, null, 2014-06-19, null, Innovative Solutions in Space (ISIS), Netherlands, Dombarovsky Air Base, Dnepr, 2014-033R, 40025, The QB50 mission will demonstrate the possibility of launching a network of 50 CubeSats built by Universities Teams all over the world as a primary payload on a low-cost launch vehicle to perform first-class science in the largely unexplored lower thermosphere., null, ZARYA, https://www.qb50.eu/index.php/community, null, null, null, null, null, 2014, 33, R, M, *, +, QB50P1, BEL, 2014-01-19, DLS, null, 97.9, null, 609, 594, 0.062, null
QB50P2 (EO 80), Belgium, Belgium, von Karman Institute, Civil, Space Science, null, LEO, Sun-Synchronous, 0, 607, 622, 0.0010738062853461235, 97.98, 96.98, 2, null, null, 2014-06-19, null, Innovative Solutions in Space (ISIS), Netherlands, Dombarovsky Air Base, Dnepr, 2014-033Y, 40032, The QB50 mission will demonstrate the possibility of launching a network of 50 CubeSats built by Universities Teams all over the world as a primary payload on a low-cost launch vehicle to perform first-class science in the largely unexplored lower thermos, null, ZARYA, https://www.qb50.eu/index.php/community, null, null, null, null, null, 2014, 33, Y, M, *, +, QB50P2, BEL, 2014-01-19, DLS, null, 97.9, null, 610, 595, 0.063, null
Qsat-EOS (KYUshu SATellite - Earth Observation System), NR, Japan, Kyushu University, Civil, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 506, 553, 0.0034060439162258136, 97.47, 95.23, 49, null, null, 2014-11-06, null, Kyushu University, Japan, Dombarovsky Air Base, Dnepr, 2014-070D, 40301, Range of sensors for disaster monitoring. observing magnetic field. detection of space micro-debris. water vapor., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, https://directory.eoportal.org/web/eoportal/satellite-missions/h/hodoyoshi-1, null, null, null, null, 2014, 70, D, null, *, +, QSAT-EOS, JPN, 2014-01-06, DLS, null, 97.3, null, 505, 472, 0.31, null
QuetzSat-1, United Kingdom, USA, SES World Skies (SES [Société Européenne des Satellites (SES)]) -- total capacity leased to subsidiary of EchoStar Corp. , Commercial, Communications, null, GEO, null, null, 35774, 35798, 0.0002846569883290635, 0.02, 1436.09, 5514, null, null, 2011-09-29, 15+ yrs., Space Systems/Loral, USA, Baikonur Cosmodrome, Proton M, 2011-054A, 37826, High-power communications satellite; coverage of Mexico. North America. and Central America; fully contracted to a subsidiary of EchoStar Corp.; will be used in part by Dish Mexico for Direct-To-Home (DTH) services in Mexico., null, JM/1_12, http://www.businesswire.com/news/home/20111114005821/en/SES%E2%80%99-QuetzSat-1-Satellite-Operational, http://www.lib.cas.cz/space.40//2011/054A.HTM, http://www.ssloral.com/html/satexp/quetzsat1.html, null, null, null, 2011, 54, A, null, *, +, QUETZSAT 1, MEX, 2011-01-29, TYMSC, null, 0, null, 35799, 35774, 219.4788, null
QZS-1 (Quazi-Zenith Satellite System. Michibiki), Japan, Japan, Japan Aerospace Exploration Agency (JAXA), Government, Navigation/Regional Positioning, null, GEO, null, 0, 32618, 38950, 0.0751055653081558, 40, 1436, 4000, null, null, 2010-09-11, null, Japan Aerospace Exploration Agency (JAXA), Japan, Tanegashima Space Center, H-2A, 2010-045A, 37158, First in three-satellite constellation for navigation., null, SC - ASCR, http://www.jaxa.jp/projects/sat/qzss/index_e.html, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/045A.HTM&act=print, http://www.planet4589.org/space/jsr/jsr.html, null, null, null, 2010, 45, A, null, *, +, QZS-1 (MICHIBIKI-1), JPN, 2010-01-11, TANSC, null, 41.3, null, 38961, 32601, 8.4139, null
Astra 1M, Luxembourg, Luxembourg, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, 19.2, 35804, 35852, 0.0005687473339968719, 0.14, 1438.2, 5345, null, 9900, 2008-11-05, 15 yrs., EADS Astrium, France, Baikonur Cosmodrome, Proton M, 2008-057A, 33436, Direct-to-home and HD television., null, SC - ASCR 1/09, http://www.thefreelibrary.com/ASTRA+1M+Satellite+Successfully+Launched.-a0188470617, http://www.lib.cas.cz/space.40/2008/I065B.HTM, http://www.ses-astra.com/business/en/satellite-fleet/satellite-list/astra1m/index.php, null, null, null, 2008, 57, A, null, *, +, ASTRA 1M, SES, 2008-01-05, TYMSC, null, 0, null, 35799, 35772, 10.0237, null
Radarsat-2 , Canada, Canada, Radarsat International, Commercial, Earth Observation, Radar Imaging, LEO, Sun-Synchronous, 0, 791, 793, 0.00013962580284836637, 98.6, 100.7, 2924, null, null, 2007-12-14, 7 yrs., MacDonald. Dettwiler/Thales Alenia Spazio, Canada/Italy, Baikonur Cosmodrome, Soyuz, 2007-061A, 32382, Use of radar sensors to provide remote sensing through all weather and darkness., null, www.satellitedebris.net 12/12, http://www.lib.cas.cz/space.40/2007/061A.HTM, http://www.radarsat2.info/about/index.asp, null, http://directory.eoportal.org/pres_RADARSAT1.html, null, null, 2007, 61, A, null, *, +, RADARSAT-2, CA, 2007-01-14, TYMSC, null, 98.6, null, 793, 791, 8.381, null
Radio-ROSTO (RS-15. Radio Sputnik 15. Russian Defence. Sports and Technical Organization - ROSTO), Russia, Russia, RS3A Control Station, Civil, Communications, Amateur Radio, MEO, Non-Polar Inclined, 0, 1885, 2165, 0.016676593210244194, 64.59, 127.45, null, null, null, 1994-12-26, null, Nilakt Posto and radio amateurs, Russia, Baikonur Cosmodrome, Rokot, 1994-085A, 23439, Amateur radio. designed by group of radio amateurs from the town of Kaluga., null, JMSatcat1104, http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-1994.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx495.html, null, null, null, null, 1994, 85, A, null, *, P, RADIO ROSTO (RS-15), CIS, 1994-01-26, TYMSC, null, 64.8, null, 2146, 1899, 0.6192, null
Raduga 1-8 (Raduga 1-M1. Cosmos 2450), Russia, Russia, Ministry of Defense, Military, Communications, null, GEO, null, 89.84, 35612, 35949, 0.0039975800998801915, 1.44, 1435.79, 2400, null, null, 2009-02-28, 5 yrs., Applied Mechanics (NPO), Russia, Baikonur Cosmodrome, Proton K, 2009-010A, 34264, Military communication., null, SC - ASCR 2/09, http://nssdc.gsfc.nasa.gov/spacewarn/spx664.html, http://russianforces.org/blog/2009/02/new_raduga_communication_relay.shtml, null, null, null, null, 2009, 10, A, null, *, -, RADUGA-1 8, CIS, 2009-01-28, TYMSC, null, 7, null, 35968, 35852, 3.2623, null
Raduga 1-M2 (Raduga 1-9), Russia, Russia, Ministry of Defense, Military, Communications, null, GEO, null, 70, 35784, 35788, 0.00004744283138817725, 0.01, 1436.06, 2500, null, null, 2010-01-28, 5 yrs., Applied Mechanics (NPO), Russia, Baikonur Cosmodrome, Proton M, 2010-002A, 36358, Military communication., null, SC - ASCR 4/10, http://russianforces.org/blog/2010/01/new_raduga-class_communication.shtml, http://nssdc.gsfc.nasa/gov/spacewarn/spx675.html, null, null, null, null, 2010, 2, A, null, *, +, RADUGA-1M 2, CIS, 2010-01-28, TYMSC, null, 0, null, 35804, 35769, 39.8107, null
Raduga 1-M3 , Russia, Russia, Ministry of Defense, Military, Communications, null, GEO, null, null, 35777, 35797, 0.00023720853001873946, 0.1, 1436.13, 2400, null, null, 2013-11-11, 5 yrs., OAO Resetneva, Russia, Baikonur Cosmodrome, Proton M, 2013-062A, 39375, Military communication., null, SC - ASCR 12/13, http://space50.kosmo.cz/s40/2013/I062A.HTM, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 62, A, null, *, +, RADUGA-1M 3, CIS, 2013-01-11, TYMSC, null, 0, null, 35800, 35773, 63.0957, null
Rapid Pathfinder Program (NROL-66. USA 225), USA, USA, National Reconnaissance Office (NRO), Military, Technology Development, null, LEO, Polar, 0, 1199, 1202, 0.00019813750743015652, 90, 109.42, 350, null, null, 2011-02-06, null, National Reconnaissance Laboratory, USA, Vandenberg AFB, Minotaur 4, 2011-006A, 37364, null, null, ZARYA, http://www.spaceflightnow.com/minotaur/nrol66/index.html, http://www.spaceref.com/news/viewsr.rss.spacewire.html?pid=36232, http://www.zarya.info/Diaries/Launches/Launches.php?year=2011#080, null, null, null, 2011, 6, A, null, *, +, USA 225, US, 2011-01-06, AFWTR, null, null, null, null, null, null, NEA
RapidEye-1 (RapidEye-C), Germany, Germany, RapidEye AG, Commercial, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 613, 646, 0.002357311236516894, 97.9, 97.3, 175, 150, null, 2008-08-29, 7 yrs., Surrey Satellite Technology. Ltd., United Kingdom, Baikonur Cosmodrome, Dnepr, 2008-040C, 33314, null, null, www.satellitedebris.net 12/12, null, null, null, null, null, null, 2008, 40, C, null, *, +, RAPIDEYE 1, GER, 2008-01-29, TYMSC, null, 97.8, null, 643, 609, 0.4019, null
RapidEye-2 (RapidEye A), Germany, Germany, RapidEye AG, Commercial, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 621, 638, 0.0012143724551753696, 97.9, 97.3, 175, 150, null, 2008-08-29, 7 yrs., Surrey Satellite Technology. Ltd., United Kingdom, Baikonur Cosmodrome, Dnepr, 2008-040A, 33312, Each satellite captures multi-wavelength images in five bands covering 400-850 nm. 6.5m resolution images. sold to agricultural. forestry and town-planning enterprises., null, www.satellitedebris.net 12/12, http://www.rapideye.de/home/services/agriculture/, http://nssdc.gsfc.nasa/gov/spacewarn/spx658.html, http://kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/040A.HTM, null, null, null, 2008, 40, A, null, *, +, RAPIDEYE 2, GER, 2008-01-29, TYMSC, null, 97.8, null, 635, 618, 0.415, null
