name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
Fengniao 1A (Hummingbird 1A), NR, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 488, 500, 0.0008741258741258741, 97.35, 94.49, 160, null, null, 2012-11-20, null, Chinese Academy of Space Technology (CAST), China, Taiyuan Launch Center, Long March 2C, 2012-064B, 38998, null, null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end, null, null, null, null, null, 2012, 64, B, null, *, +, FENGNIAO 1 (FN-1), PRC, 2012-01-18, TAISC, null, 97.3, null, 445, 435, 0.556, null
Fengyun 2D (FY-2D), China, China, China Meteorological Administration, Government, Earth Observation, Earth Science, GEO, null, 86.51, 35777, 35791, 0.00016605778811026238, 0.77, 1436, 1390, 620, null, 2006-12-08, 3 yrs., China Aerospace Corporation, China, Xichang Satellite Launch Center, Long March 3A, 2006-053A, 29640, Meteorological; better weather forecasting for the Beijing Olympics., null, JM/12_08, null, null, null, null, null, null, 2006, 53, A, M, *, -, FENGYUN 2D, PRC, 2006-01-08, XICLF, null, 6.1, null, 36433, 36325, 27.6307, null
Fengyun 2E (FY-2E), China, China, China Meteorological Administration, Government, Earth Observation, Earth Science, GEO, null, 123.59, 35767, 35803, 0.0004269956114339936, 2.61, 1436.04, 1390, 620, null, 2008-12-23, 3 yrs., Shanghai Academy of Space Flight Technology, China, Xichang Satellite Launch Center, Long March 3A, 2008-066A, 33463, Meteorological; weather forecasting and disaster reduction., null, JM/12_08, http://nssdc.gafc.nasa.gov/spacewarn/spx662.html, null, null, null, null, null, 2008, 66, A, M, *, P, FENGYUN 2E, PRC, 2008-01-23, XICLF, null, 3.5, null, 35801, 35768, 15.8489, null
Fengyun 2F (FY-2F), China, China, China Meteorological Administration, Government, Earth Observation, Earth Science, GEO, null, 105, 35760, 35816, 0.000664168129417904, 2.19, 1436.19, 1390, 620, null, 2012-01-12, 3 yrs., Shanghai Academy of Space Flight Technology, China, Xichang Satellite Launch Center, Long March 3A, 2012-002A, 38049, Meteorological; weather forecasting and disaster reduction., null, JM/5_12, http://www.dragoninspace.com/earth-observation/fengyun2.aspx, http://www.spaceflightnow.com/news/n1201/13longmarch/, http://www.nasaspaceflight.com/2012/01/china-launch-again-long-march-3a-launches-fengyun-2f/, null, null, null, 2012, 2, A, null, *, +, FENGYUN 2F, PRC, 2012-01-13, XICLF, null, 1.1, null, 35791, 35780, 22.4645, null
Fengyun 2G (FY 2G), NR, China, China Meteorological Administration, Government, Earth Observation, Earth Science, GEO, null, 0, 35770, 35800, 0.0003558296761949947, 2.27, 1436.02, 1390, 620, null, 2014-12-31, null, Shanghai Academy of Space Flight Technology, China, Xichang Satellite Launch Center, Long March 3A, 2014-090A, 40367, Meteorological; imaging and climate monitoring satellite. replacement for FY 2D., null, ZARYA, http://www.nasaspaceflight.com/2014/12/china-ends-2014-long-march-3a-launch-fengyun-2g/, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, 2014, 90, A, null, *, +, FENGYUN 2G, PRC, 2014-01-31, XICLF, null, 1.1, null, 35798, 35778, 23.1149, null
Fengyun 3A (FY-3A), China, China, China Meteorological Administration, Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 820, 835, 0.0010420284821118443, 98.6, 101.5, 2300, null, null, 2008-05-27, null, Shanghai Academy of Space Flight Technology, China, Taiyuan Launch Center, Long March 4C, 2008-026A, 32958, Meteorological; better weather forecasting for the Beijing Olympics., null, www.satellitedebris.net 12/12, http://www.asmmag.com/news/952, http://nssdc.gsfc.nasa.gov/spacewarn/spx655.html, http://www.lib.cas.cz/space.40/2008/I024A.HTM, null, null, null, 2008, 26, A, M, *, +, FENGYUN 3A, PRC, 2008-01-27, TAISC, null, 98.4, null, 837, 823, 6.5849, null
Fengyun 3B (FY-3B), China, China, China Meteorological Administration, Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 827, 828, 0.00006946856547412296, 98.8, 101.5, 2300, null, null, 2010-11-04, null, Shanghai Academy of Space Flight Technology, China, Taiyuan Launch Center, Long March 4C, 2010-059A, 37214, Meteorological., null, www.satellitedebris.net 12/12, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/059A.HTM, http://nssdc.gsfc.nasa.gov/spacewarn/spx685.html, null, null, null, null, 2010, 59, A, M, *, +, FENGYUN 3B, PRC, 2010-01-04, TAISC, null, 99, null, 852, 826, 6.2136, null
Fengyun 3C (FY-3C), China, China, China Meteorological Administration, Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 827, 828, 0.00006946856547412296, 98.81, 101.45, 2300, null, null, 2013-09-23, null, Shanghai Academy of Space Flight Technology, China, Taiyuan Launch Center, Long March 4C, 2013-052A, 39260, Meteorological., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, http://www.spaceflight101.com/china-long-march-4c-fengyun-3c-launch.html, http://www.nsmc.cma.gov.cn/newsite/NSMC_EN/Channels/100090.html, null, null, null, 2013, 52, A, null, *, +, FENGYUN 3C, PRC, 2013-01-23, TAISC, null, 98.6, null, 847, 832, 7.436, null
Fermi Gamma-Ray Space Telescope (formerly GLAST), USA, USA, NASA/GSFC, Government, Space Science, null, LEO, Non-Polar Inclined, 0, 537, 556, 0.0013735270729415166, 25.6, 95.6, 4303, null, null, 2008-06-11, null, General Dynamics, USA, Cape Canaveral, Delta 2, 2008-029A, 33053, Will study the cosmos in the photon energy range of 8.000 electronvolts (8 keV) to greater than 300 billion electronvolts (300 GeV)., null, www.satellitedebris.net 12/12, http://www.nasa.gov/mission_pages/GLAST/main/index.html, http://www.lib.cas.cz/space.40/2008/INDEX1.HTM, http://nssdc.gsfc.nasa.gov/spacewarn/spx656.html, null, null, null, 2008, 29, A, M, *, X, FGRST (GLAST), US, 2008-01-11, AFETR, null, 25.6, null, 541, 524, 4.9326, null
FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1. NROL-41. USA 215. Topaz), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1101, 1107, 0.0004013914905004014, 122.99, 107.35, null, null, null, 2010-09-21, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Atlas 5, 2010-046A, 37162, Amateur observers speculate that this is part of the FIA., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/046A.HTM&act=print, http://www.satobs.org/seesat/Oct-2010/0008.html, http://www.globalsecurity.org/intell/systems/fia.htm, http://www.nytimes.com/2007/11/11/washington/11satellite.html?_r=1&pagewanted=1#step1, null, null, 2010, 46, A, M, *, +, USA 215, US, 2010-01-21, AFWTR, null, null, null, null, null, null, NEA
ABS-3A , NR, Multinational, Asia Broadcast Satellite Ltd., Commercial, Communications, null, GEO, null, -3, 35788, 35803, 0.00017787053396734297, 0.1, 1436, 2000, null, null, 2015-03-02, 15 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Falcon 9, 2015-010A, 40424, Coverage of Americas Europe and Africa., null, null, http://www.absatellite.net/satellite-fleet/?sat=abs3a, http://spaceflightnow.com/2015/03/17/innovative-satellites-begin-maneuvers-with-all-electric-thrusters/, null, null, null, null, 2015, 10, A, null, *, +, ABS-3A, ABS, 2015-01-02, AFETR, null, 0, null, 35795, 35777, 6.019, null
Amazonas-2, Brazil, Spain, Hispamar (subsidiary of Hispasat - Spain), Commercial, Communications, null, GEO, null, -61, 35767, 35805, 0.00045070689818768383, 0.03, 1436.08, 5465, null, 15300, 2009-10-01, 15 yrs., EADS Astrium, France/UK/Germany/Spain, Guiana Space Center, Ariane 5, 2009-054A, 35942, 54 Ku-band. 10 C-band transponders; North. Central and South America., null, JM/12_09, http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html, http://www.hispasat.com/List.aspx?ShowSearch=true&sectionsId=87&lang=en, null, null, null, null, 2009, 54, A, null, *, +, AMAZONAS 2, SPN, 2009-01-01, FRGUI, null, 0.1, null, 35803, 35770, 11.0159, null
FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2. NROL-25. USA 234. Topaz), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1068, 1107, 0.0026148172980221254, 123, 107, null, null, null, 2012-04-03, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Delta 4, 2012-014A, 38109, Amateur observers speculate that this is part of the FIA., null, null, http://sattrackcam.blogspot.com/2012/04/fia-radar-2-nrol-25-observed-with-video.html, http://www.slate.com/blogs/future_tense/2012/04/09/nrol_25_spy_satellite_launched_by_national_reconnaissance_office_.html, http://www.zarya.info/Gallimaufry/FIARadar.php, http://planet4589.org/space/jsr/back/news.656, null, null, 2012, 14, A, M, *, +, USA 234, US, 2012-01-03, AFWTR, null, 123, null, 1106, 1102, null, NEA
FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3. NROL-39 . USA 247. Topaz), NR, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1066, 1081, 0.0010075905152146167, 123, 106.7, null, null, null, 2013-12-06, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Atlas 5, 2013-072A, 39462, US reconnaissance satellite. part of the only remaining element of the Future Imaging Architecture programme. equipped with an imaging radar. Orbit plane is 90° away in RA from each of the two earlier launches., null, ZARYA estimated, http://forum.nasaspaceflight.com/index.php?topic=32686.155;wap2, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 72, A, M, *, +, USA 247, US, 2013-01-06, AFWTR, null, 123, null, 1107, 1101, null, NEA
FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4. NROL-45. USA 267. Topax), NR (5/16), USA, National Reconnaissance Office (NRO), Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 1086, 1087, 0.0000670555890833501, 123, 106.7, null, null, null, 2016-02-10, null, National Reconnaissance Office (NRO), USA, Vandenberg AFB, Delta 4, 2016-010A, 41334, null, null, SatTrackCam, http://sattrackcam.blogspot.com/2016/02/observing-nrol-45-fia-radar-4topaz-4-18.html, http://spaceflightnow.com/2016/02/10/delta-4-goes-against-the-grain-to-backwards-orbit-for-spy-bird/, null, null, null, null, 2016, 10, A, null, *, +, USA 267, US, 2016-01-10, AFWTR, null, null, null, null, null, null, NEA
Firebird-A (Focused Investigations of Relativistic Electron Burst. Intensity. Range. and Dynamics), NR, USA, Firebird Consortium (Montana State Univ.. Univ. of New Hampshire. Aerospace Corp.. Los Alamos National Laboratory), Government/Civil, Space Science, null, LEO, Polar, 0, 443, 886, 0.03148766792238254, 120.3, 98, 2, null, null, 2013-12-06, 3 yrs., Montana State University, USA, Vandenberg AFB, Atlas 5, 2013-072B, 39463, One of a simultaneously-launched pair studying space weather. in particular - electron microbursts in the Van Allen radiation belts., null, ZARYA, https://directory.eoportal.org/web/eoportal/satellite-missions/f/firebird, null, null, null, null, null, 2013, 72, B, null, *, -, FIREBIRD 1, US, 2013-01-06, AFWTR, null, null, null, null, null, null, NEA
Firebird-B (Focused Investigations of Relativistic Electron Burst. Intensity. Range. and Dynamics), NR, USA, Firebird Consortium (Montana State Univ.. Univ. of New Hampshire. Aerospace Corp.. Los Alamos National Laboratory), Government/Civil, Space Science, null, LEO, Polar, 0, 443, 886, 0.03148766792238254, 120.3, 98, 2, null, null, 2013-12-06, 3 yrs., Montana State University, USA, Vandenberg AFB, Atlas 5, 2013-072C, 39464, One of a simultaneously-launched pair studying space weather. in particular - electron microbursts in the Van Allen radiation belts., null, ZARYA, https://directory.eoportal.org/web/eoportal/satellite-missions/f/firebird, null, null, null, null, null, 2013, 72, C, null, *, -, FIREBIRD 2, US, 2013-01-06, AFWTR, null, null, null, null, null, null, NEA
Firebird-C (Focused Investigations of Relativistic Electron Burst. Intensity. Range. and Dynamics), USA, USA, Firebird Consortium (Montana State Univ.. Univ. of New Hampshire. Aerospace Corp.. Los Alamos National Laboratory), Government/Civil, Space Science, null, LEO, Elliptical, 0, 437, 667, 0.016613695463738806, 99.1, 95.7, 2, null, null, 2015-01-31, .25 yrs., Montana State University, USA, Vandenberg AFB, Delta 2, 2015-003B, 40377, One of a simultaneously-launched pair studying space weather. in particular - electron microbursts in the Van Allen radiation belts., null, n2yo, http://www.n2yo.com/satellite/?s=40378, null, null, null, null, null, 2015, 3, B, null, *, +, FIREBIRD 3, US, 2015-01-31, AFWTR, null, 99.1, null, 597, 423, 0.0713, null
Firebird-D (Focused Investigations of Relativistic Electron Burst. Intensity. Range. and Dynamics), USA, USA, Firebird Consortium (Montana State Univ.. Univ. of New Hampshire. Aerospace Corp.. Los Alamos National Laboratory), Government/Civil, Space Science, null, LEO, Elliptical, 0, 444, 675, 0.016667869254635977, 99.1, 97.7, 2, null, null, 2015-01-31, .25 yrs., Montana State University, USA, Vandenberg AFB, Delta 2, 2015-003C, 40378, One of a simultaneously-launched pair studying space weather. in particular - electron microbursts in the Van Allen radiation belts., null, n2yo, http://www.n2yo.com/satellite/?s=40378, null, null, null, null, null, 2015, 3, C, null, *, +, FIREBIRD 4, US, 2015-01-31, AFWTR, null, 99.1, null, 597, 423, 0.082, null
Firefly, NR, USA, NASA/Sienna College/Univ. of Maryland, Government/Civil, Earth Science, null, LEO, Non-Polar Inclined, 0, 437, 449, 0.0008806693086745927, 40.5, 94.68, 3, null, null, 2013-11-19, 1 yr., National Science Foundation, USA, Wallops Island Flight Facility, Minotaur 1, 2013-064R, 39395, Study of lightning., null, WT, https://directory.eoportal.org/web/eoportal/satellite-missions/f/firefly, http://www.nasa.gov/content/goddard/nasa-led-firefly-mission-to-study-lightning/#.Utbk5bSznc8, null, null, null, null, 2013, 64, R, null, *, D, COPPER, US, 2013-01-20, WLPIS, 2016-01-04, 40.5, null, 166, 165, 0.02, null
FLTSATCOM-8 (USA 46), USA, USA, US Navy, Military, Communications, null, GEO, null, -14.74, 35745, 35829, 0.0009962758260787057, 8.97, 1436.13, 2310, 1884, null, 1989-09-25, 5 yrs., TRW. Defense and Space Systems Group, USA, Cape Canaveral, Atlas Centaur, 1989-077A, 20253, Old system replaced by UFO satellites; this satellite still operational as of 2009., null, JM/2_09, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/1989/077A.HTM, http://www.wired.com/politics/security/news/2009/04/fleetcom?currentPage=all, http://www.designation-systems.net/dusrm/app3/sat-summary.html, http://www.fas.org/spp/military/program/com/fltsat.htm, null, null, 1989, 77, A, null, *, +, FLTSATCOM 8 (USA 46), US, 1989-01-25, AFETR, null, 13.1, null, 35811, 35761, 32.5418, null
Formosat-2 (ROCSAT-2. Republic of China Satellite 2) , NR, Taiwan, National Space Program Office (NSPO), Government/Military, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 890, 893, 0.0002065688907250568, 99, 102.8, 764, 631, 500-700, 2004-05-21, 5 yrs., Astrium/NSPO, France/UK/Germany/Taiwan, Vandenberg AFB, Taurus XL, 2004-018A, 28254, "It's mission is to observe and monitor the terrestrial and marine environment and natural resources throughout Taiwan. its remote islands and surrounding ocean for civil applications." , null, www.satellitedebris.net 12/12, http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html, http://www.nspo.gov.tw/e50/home/index.html, http://www.spacedaily.com/2004/040520222422.3oqhev83.html, http://perso.wanadoo.fr/eurospace/espdatabase/, http://www.lib.cas.cz/www/space.40/2004/018A.HTM, null, 2004, 18, A, null, *, +, FORMOSAT-2 (ROCSAT 2), ROC, 2004-01-20, AFWTR, null, 98.8, null, 893, 890, 3.1147, null
Amazonas-3, Brazil, Spain, Hispamar (subsidiary of Hispasat - Spain), Commercial, Communications, null, GEO, null, -61, 35781, 35791, 0.00011860707847044311, 0.03, 1436.05, 6265, 2778, 14000, 2013-02-07, 15 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5 ECA, 2013-006A, 39078, null, null, SC - ASCR, http://www.hispasat.com/Detail.aspx?sectionsId=67&lang=en, http://www.arianespace.com/news-press-release/2013/2-7-2013-VA212-launch.asp, http://space50.kosmo.cz/s40/2013/INDEX1.HTM, null, null, null, 2013, 6, A, null, *, +, AMAZONAS 3, SPN, 2013-01-07, FRGUI, null, 0, null, 35794, 35781, 318.7396, null
FORTÉ (Fast On-orbit Recording of Transient Events), USA, USA, Los Alamos National Labs/DOE, Government, Earth Observation, Radar Imaging, LEO, Polar, 0, 790, 823, 0.0022991709050372744, 70, 101, 215, 41, 55, 1997-08-29, 3 yrs., Los Alamos National Lab/Sandia National Lab, USA, Vandenberg AFB, Pegasus XL, 1997-047A, 24920, Electronic equipment for detecting. analyzing and recording bursts of radio energy (nuclear tests) from near Earth's surface (nonproliferation); study lightning; plastic satellite bus., null, www.satellitedebris.net 12/12, http://www.wired.com/news/technology/0.1282.6482.00.html, http://centaur.sstl.co.uk/SSHP/mini/mini97.html, http://nis-www.lanl.gov/nis-projects/forte_science/, http://www.lanl.gov/worldview/news/pdf/LANL_in_SpaceFact.pdf, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, 1997, 47, A, null, *, +, FORTE, US, 1997-01-29, WRAS, null, 70, null, 822, 786, 1.3502, null
Fox-1A (AO-85), NR (6/16), USA, AMSAT-NA, Civil, Communications/Technology Development, null, LEO, Non-Polar Inclined, 0, 496, 802, 0.021797976919789144, 64.78, 97.7, 1.33, null, null, 2015-10-08, 11 yrs., AMSAT/Penn State University/Vanderbilt University/Virginia Tech, USA, Cape Canaveral, Atlas 5, 2015-058D, 40967, NASA-sponsored ride-along on a NRL launch. Amateur radio and three technology experiments by American universities., null, JM/12_15, http://ww2.amsat.org/xtra/ARRL-Fox-1.pdf, http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/, http://planet4589.org/space/log/satcat.txt, null, null, null, 2015, 58, D, null, *, +, FOX-1A (AO-85), US, 2015-01-08, AFWTR, null, 64.8, null, 794, 496, null, NEA
FUNCube-1 (AO-73), NR, Netherlands, AMSAT-UK, Civil, Communications, null, LEO, Sun-Synchronous, 0, 594, 683, 0.006349432831561675, 97.8, 97.4, 1, null, null, 2013-11-21, null, AMSAT/UK-AMSAT/NL, UK/Netherlands, Dombarovsky Air Base, Dnepr, 2013-066AE, 39444, Aimed for its transmissions to be received easily be received by schools and colleges and decoded in the classroom. It's purpose is to provide stimulation and encouragement for students to become interested Science. Technology. Engineering and Mathematics., null, ZARYA, http://funcube.org.uk/, null, null, null, null, null, 2013, 66, AE, null, *, +, FUNCUBE-1 (AO-73), UK, 2013-01-21, DLS, null, 97.6, null, 664, 583, 0.0552, null
Galassia, NR (1/16), Singapore, National University of Singapore, Civil, Earth Science, null, LEO, Equatorial, 0, 529, 549, 0.0014473874656245477, 14.98, 95.43, 3.4, null, null, 2015-12-16, null, National University of Singapore, Singapore, Satish Dhawan Space Centre, PSLV-C29, 2015-077E, 41170, Measure the total electron count in the ionosphere above Singapore. and a small photo-entangling quantum system to acquire quantum correlation data in space., null, prehled-druzic, http://prehled-druzic.blogspot.com/2015/12/2015-077.html, http://spaceflightnow.com/2015/12/16/pslv-set-for-commercial-launch-with-six-singaporean-satellites/, null, null, null, null, 2015, 77, E, null, *, +, GALASSIA, SING, 2015-01-16, SRILR, null, 15, null, 534, 515, 0.0451, null
Galaxy-11, USA, USA, PanAmSat (Intelsat. Ltd.), Commercial, Communications, null, GEO, null, -55.5, 35785, 35795, 0.00011859582542694497, 0.05, 1436.11, 4488, 2775, 10400, 1999-01-21, 14 yrs., Boeing Satellite Systems, USA, Guiana Space Center, Ariane 4, 1999-071A, 26038, Voice and video communications; 24 C-band. 40 Ku-band; North America. Brazil. Solar panels very degraded - will serve for DTH applications., null, null, null, null, null, null, null, null, 1999, 71, A, null, *, +, GALAXY 11 (G-11), US, 1999-01-22, FRGUI, null, 0.3, null, 35887, 35850, 248.6225, null
Galaxy-12, USA, USA, PanAmSat (Intelsat. Ltd.), Commercial, Communications, null, GEO, null, -122.9, 35775, 35796, 0.0002490778190271732, 0.05, 1436.07, 1760, 800, null, 2003-04-09, 15 yrs., Orbital Sciences Corp., USA, Guiana Space Center, Ariane 5, 2003-013B, 27715, Voice. video and data transmissions; 24 C-band; North and South America., null, JM/12_08, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx594.html, http://www.panamsat.com/global_network/galaxy_12.asp, http://www.spaceref.com/news/viewpr.html?pid=15749, null, null, 2003, 13, B, null, *, S, GALAXY 12 (G-12), ITSO, 2003-01-09, FRGUI, null, 0.5, null, 35797, 35776, 19.9526, null
Galaxy-13 (Horizons 1. Galaxy 13L), USA, USA/Japan, PanAmSat (Intelsat. Ltd.)/Sky Perfect JSAT Corp., Commercial, Communications, null, GEO, null, -126.97, 35781, 35790, 0.00010674763672593138, 0.01, 1436.07, 4060, 2630, 8600, 2003-10-01, 15 yrs., Boeing Satellite Systems, USA, Sea Launch (Odyssey), Zenit 3, 2003-044A, 27954, Horizons 1 is Ku-band payload; C-band is on Galaxy 13., null, JM/12_08, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://www.jsat.net/en/satellite/pop_list.html, http://www.panamsat.com/global_network/galaxy_13.asp, null, null, null, 2003, 44, A, M, *, +, GALAXY 13 (HORIZONS 1), US, 2003-01-01, SEAL, null, 0, null, 35791, 35782, 25.4101, null
Galaxy-14, USA, USA, PanAmSat (Intelsat. Ltd.), Commercial, Communications, null, GEO, null, -124.96, 35776, 35795, 0.00022535612197696622, 0.01, 1436.07, 2086, null, 4700, 2005-08-13, 15 yrs., Orbital Sciences Corp., USA, Baikonur Cosmodrome, Soyuz-Fregat , 2005-030A, 28790, 24 C-band transponders; North America. Caribbean., null, JM/12_08, http://www.orbital.com/SatellitesSpace/GEO/PanAmSat/, http://www.panamsat.com/global_network/galaxy_14.asp, http://www.orbital.com/NewsInfo/Publications/Galaxy.pdf, http://nssdc.gsfc.nasa.gov/spacewarn/spx622.html, http://www.lib.cas.cz/www/space.40/2005/030A.HTM, null, 2005, 30, A, null, *, +, GALAXY 14 (G-14), US, 2005-01-13, TYMSC, null, 0, null, 35797, 35775, 20, null
Galaxy-15, USA, USA, PanAmSat (Intelsat. Ltd.), Commercial, Communications, null, GEO, null, -132.97, 35776, 35795, 0.00022535612197696622, 0.06, 1436.07, 2033, null, 4700, 2005-10-13, 15 yrs., Orbital Sciences Corp., USA, Guiana Space Center, Ariane 5, 2005-041A, 28884, North America. Alaska. Hawaii. Caribbean; 24 C-band transponders. 2 L-band transponders for transmission of navigational data; anomaly in 4/10 left Intelsat out of communication with the satellite., null, JM/12_08, http://www.satellitetoday.com/commercial/headlines/Intelsat-Galaxy-15-to-be-Operational-by-February_35932.html, http://www.spacenews.com/satellite_telecom/110107-intelsat-moving-galaxy15.html, null, null, null, null, 2005, 41, A, null, *, P, GALAXY 15 (G-15), ITSO, 2005-01-13, FRGUI, null, 0, null, 35794, 35780, 7.9433, null
Galaxy-16 , USA, USA, PanAmSat (Intelsat. Ltd.), Commercial, Communications, null, GEO, null, -99.02, 35775, 35798, 0.0002727930449634101, 0.01, 1436.1, 4640, null, 10000, 2006-06-18, 15 yrs., Space Systems/Loral, USA, Sea Launch (Odyssey), Zenit 3SL, 2006-023A, 29236, 24 C-band. 24 Ku-band; CONUS coverage., null, JM/12_08, http://www.panamsat.com/global_network/galaxy_16.asp, http://www.ssloral.com/html/pressreleases/pr20060618.html, http://www.lib.cas.cz/www/space.40/2006/023A.HTM, null, null, null, 2006, 23, A, null, *, +, GALAXY 16 (G-16), US, 2006-01-18, SEAL, null, 0, null, 35798, 35774, 251.785, null
Amazonas-4A, NR, Spain, Hispamar (subsidiary of Hispasat - Spain), Commercial, Communications, null, GEO, null, -61, 35784, 35795, 0.00013045695513466714, 0.08, 1436.24, 2938, null, null, 2014-03-22, 15 yrs., Orbital Sciences Corp., USA, Guiana Space Center, Ariane 5 ECA, 2014-011A, 39616, Suffered a power malfunction shortly after entering orbit; will affect capacity., null, SC - ASCR, http://www.satnews.com/story.php?number=247224721, null, null, null, null, null, 2014, 11, A, null, *, P, AMAZONAS 4A, SPN, 2014-01-22, FRGUI, null, 0.1, null, 35801, 35772, 163.5012, null
Galaxy-17, USA, USA, Intelsat. Ltd., Commercial, Communications, null, GEO, null, -91.01, 35774, 35799, 0.0002965141793080545, 0.02, 1436.1, 4100, null, 9500, 2007-05-04, 15 yrs., Thales Alenia Space, France/Italy, Guiana Space Center, Ariane 5 ECA, 2007-016B, 31307, 24 C-band. 24 Ku-band transponders; service to North America., null, JM/12_08, http://www.comspacewatch.com/news/viewpr.html?pid=22579, http://www.lib.cas.cz/space.40/2007/016B.HTM, null, null, null, null, 2007, 16, B, null, *, +, GALAXY 17 (G-17), US, 2007-01-04, FRGUI, null, 0.1, null, 35802, 35771, 12.6832, null
Galaxy-18, USA, USA, Intelsat. Ltd., Commercial, Communications, null, GEO, null, -123.02, 35774, 35798, 0.0002846569883290635, 0.02, 1436.1, 4642, null, null, 2008-05-21, 15 yrs., Space Systems/Loral, USA, Sea Launch (Odyssey), Zenit 3SL, 2008-024A, 32951, Advanced cable television and data. North America; 24 Ku-band. 24 C-band transponders., null, JM/12_08, http://www.gsfc.nasa.gov/spacewarn/spx655.html, http://www.lib.cas.cz/space.40/2008/I024A.HTM, http://www.intelsat.com/press/news-releases/2008/20080521.asp, null, null, null, 2008, 24, A, null, *, +, GALAXY 18 (G-18), US, 2008-01-21, SEAL, null, 0, null, 35800, 35773, 20.9813, null
Galaxy-19, USA, USA, Intelsat. Ltd., Commercial, Communications, null, GEO, null, -97.08, 35776, 35796, 0.00023721415694088623, 0.05, 1436.1, 4690, null, null, 2008-09-24, 15 yrs., Space Systems/Loral, USA, Sea Launch (Odyssey), Zenit 3SL, 2008-045A, 33376, 50-state coverage. in addition to reaching the Caribbean. Canada and Mexico. to video. government and network customers. , null, JM/12_08, http://www.multichannel.com/article/CA6599168.html, http://www.intelsat.com/network/satellite/scheduled-launch.asp, http://www.lib.cas.cz/space.40/2008/I042A.HTM, null, null, null, 2008, 45, A, null, *, +, GALAXY 19 (G-19), US, 2008-01-24, SEAL, null, 0, null, 35800, 35773, 15.8677, null
